timestamp,thread,task,version,property_id,updated_review_count,updated_avg_rating,redis_write_elapsed_ms,rdb_dirty_check_elapsed_ms,persist_total_elapsed_ms
2025-12-19 20:33:28.901,http-nio-8185-exec-1,TASK_1,V2_INCREMENTAL,94cc9332fc563819f37e0947eefe3634,1,4.0,0.59,0.03,0.63
2025-12-19 20:33:34.111,http-nio-8185-exec-2,TASK_1,V2_INCREMENTAL,4946dde4b54da695692a0927a4548dfb,1,4.0,0.29,0.01,0.3
2025-12-19 20:33:38.993,http-nio-8185-exec-4,TASK_1,V2_INCREMENTAL,3ba1d0d29ef3b9432e09901f16e2e85d,1,4.0,0.29,0.01,0.3
2025-12-19 20:33:42.732,http-nio-8185-exec-5,TASK_1,V2_INCREMENTAL,45ec86ddbd6c69095dd90b21b5d1e53c,1,4.0,0.5,0.03,0.53
2025-12-19 20:33:46.439,http-nio-8185-exec-6,TASK_1,V2_INCREMENTAL,7ac6fa3aa251136ba5e6fccf3196a09e,1,4.0,0.39,0.01,0.4
2025-12-19 20:33:50.447,http-nio-8185-exec-3,TASK_1,V2_INCREMENTAL,815b7115f9ae25d17a0bbd6511b933b5,1,4.0,0.27,0.01,0.29
2025-12-19 20:33:54.441,http-nio-8185-exec-7,TASK_1,V2_INCREMENTAL,43392cb84e5a2cb568a500728447dcf0,1,4.0,0.33,0.01,0.34
2025-12-19 20:33:58.134,http-nio-8185-exec-8,TASK_1,V2_INCREMENTAL,9787fbe6d4c2e3f5f13567b8c262b4b2,1,4.0,0.31,0.01,0.32
2025-12-19 20:34:01.600,http-nio-8185-exec-10,TASK_1,V2_INCREMENTAL,56c2bccdf1fbeb5faed79f68c1b345c1,1,4.0,0.38,0.01,0.4
2025-12-19 20:34:05.860,http-nio-8185-exec-9,TASK_1,V2_INCREMENTAL,49f081dea4cdfa75541a40b8ac8285c4,1,4.0,0.34,0.01,0.35
